Item_Id,Item_Name,Category,Description,Price
96,Sherry,Wine,A fortified wine with nutty and caramel notes.,"$12/glass, $45/bottle"
97,Craft IPA,Beer,Hoppy and aromatic India Pale Ale.,$9
98,Pilsner,Beer,A crisp and refreshing lager.,$8
99,Stout,Beer,A dark beer with rich coffee and chocolate flavors.,$10
100,Wheat Beer,Beer,A light beer with hints of citrus and spice.,$9
101,Amber Ale,Beer,A balanced beer with caramel and toasty flavors.,$8
102,Belgian Witbier,Beer,A spiced wheat beer with notes of orange peel and coriander.,$10
103,Saison,Beer,A farmhouse ale with fruity and spicy notes.,$11
104,Lager,Beer,A clean and crisp lager.,$7
105,Brown Ale,Beer,A malty beer with hints of caramel and nuts.,$9
